"School","Total_Students","Temp_Housing","Percentage","Shelter","DHS_Shelter","Non_DHS_Shelter","Doubled_Up","Year"
"P.S. 536","436",57,0.131,15,NA,NA,41,2019
"High School of World Cultures","464",90,0.194,22,NA,NA,67,2019
"P.S. 595","165",51,0.309,22,NA,NA,27,2019
"Fannie Lou Hamer Freedom High School","471",60,0.127,29,17,12,29,2019
"Wings Academy","464",68,0.147,41,26,15,24,2019
"Bronx Little School","333",73,0.219,16,NA,NA,54,2019
"Universal Pre-K C.B.O.","614",73,0.119,24,NA,NA,47,2019
"P.S. 003 The Bedford Village","389",113,0.29,38,27,11,75,2019
"P.S. 008 Robert Fulton","931",13,0.014,NA,NA,NA,11,2019
"P.S. 009 Teunis G. Bergen","957",38,0.04,14,8,6,24,2019
"P.S. 011 Purvis J. Behan","909",57,0.063,10,NA,NA,45,2019
"P.S. 020 Clinton Hill","499",37,0.074,9,NA,NA,25,2019
"P.S. 044 Marcus Garvey","126",22,0.175,9,NA,NA,10,2019
"P.S. 046 Edward C. Blum","280",38,0.136,13,NA,NA,24,2019
"P.S. 054 Samuel C. Barnes","237",19,0.08,13,NA,NA,NA,2019
"P.S. 056 Lewis H. Latimer","282",36,0.128,12,NA,NA,22,2019
"P.S. 067 Charles A. Dorsey","232",47,0.203,28,21,7,17,2019
"P.S. 093 William H. Prescott","245",35,0.143,21,NA,NA,13,2019
"M.S. 113 Ronald Edmonds Learning Center","349",49,0.14,20,12,8,23,2019
"P.S. 133 William A. Butler","758",41,0.054,17,9,8,23,2019
"P.S. 256 Benjamin Banneker","244",46,0.189,26,15,11,17,2019
"Dr. Susan S. McKinney Secondary School of the Arts","324",30,0.093,15,9,6,10,2019
"M.S. K266 - Park Place Community Middle School","157",20,0.127,12,NA,NA,8,2019
"P.S. 270 Johann DeKalb","121",14,0.116,7,NA,NA,NA,2019
"P.S. 282 Park Slope","659",34,0.052,20,NA,NA,12,2019
"P.S. 287 Bailey K. Ashford","151",13,0.086,10,NA,NA,NA,2019
"Satellite East Middle School","102",17,0.167,6,NA,NA,11,2019
"P.S. 305 Dr. Peter Ray","151",31,0.205,12,NA,NA,16,2019
"P.S. 307 Daniel Hale Williams","383",63,0.164,26,18,8,34,2019
"Dock Street School for STEAM Studies","274",21,0.077,8,NA,NA,11,2019
"Urban Assembly School for Music and Art","200",24,0.12,13,6,7,7,2019
"The Urban Assembly Unison School","166",24,0.145,13,NA,NA,10,2019
"Brooklyn Community Arts & Media High School (BCAM)","417",39,0.094,27,12,15,9,2019
"Science Skills Center High School for Science, Tec","587",59,0.101,19,11,8,34,2019
"Brooklyn Technical High School","5911",156,0.026,NA,NA,NA,108,2019
"Brooklyn International High School","369",50,0.136,NA,NA,NA,45,2019
"The Urban Assembly School for Law and Justice","433",18,0.042,11,NA,NA,6,2019
"ACORN Community High School","142",19,0.134,7,NA,NA,9,2019
"Urban Assembly Institute of Math and Science for Y","514",45,0.088,24,14,10,16,2019
"Brooklyn Academy High School","222",23,0.104,11,NA,NA,NA,2019
"Gotham Professional Arts Academy","170",24,0.141,13,7,6,8,2019
"Bedford Academy High School","364",14,0.038,7,NA,NA,6,2019
"George Westinghouse Career and Technical Education","794",43,0.054,20,NA,NA,17,2019
"Brooklyn High School for Leadership and Community","211",32,0.152,21,13,8,6,2019
