"School","Total_Students","Temp_Housing","Percentage","Shelter","DHS_Shelter","Non_DHS_Shelter","Doubled_Up","Year"
"International High School at Prospect Heights","384",69,0.18,9,NA,NA,50,2020
"The High School for Global Citizenship","232",40,0.172,13,NA,NA,22,2020
"School for Human Rights, The","347",36,0.104,14,7,7,18,2020
"New Bridges Elementary","462",81,0.175,14,NA,NA,62,2020
"High School for Youth and Community Development at","478",59,0.123,21,12,9,30,2020
"High School for Service & Learning at Erasmus","299",35,0.117,10,NA,NA,25,2020
"Science, Technology and Research Early College Hig","626",30,0.048,11,NA,NA,17,2020
"High School for Public Service: Heroes of Tomorrow","483",39,0.081,20,13,7,14,2020
"Brooklyn Academy of Science and the Environment","350",32,0.091,11,NA,NA,19,2020
"Brooklyn School for Music & Theatre","279",33,0.118,19,13,6,12,2020
"Brownsville Academy High School","136",20,0.147,14,7,7,6,2020
"Medgar Evers College Preparatory School","1,402",69,0.049,19,12,7,40,2020
"Clara Barton High School","1,238",95,0.077,34,23,11,58,2020
"Aspirations Diploma Plus High School","219",23,0.105,13,7,6,7,2020
"Universal Pre-K C.B.O.","1,721",99,0.058,60,43,17,38,2020
"Brooklyn Arts and Science Elementary School","329",34,0.103,14,NA,NA,19,2020
"New Heights Middle School","260",37,0.142,13,NA,NA,22,2020
"Brooklyn Institute for Liberal Arts","459",48,0.105,10,NA,NA,34,2020
"Academy for Health Careers","284",33,0.116,17,9,8,13,2020
"P.S. 770 New American Academy","298",12,0.04,7,NA,NA,NA,2020
"P.S. 66","775",47,0.061,20,13,7,20,2020
"I.S. 068 Isaac Bildersee","264",32,0.121,10,NA,NA,18,2020
"P.S. 114 Ryder Elementary","532",111,0.209,51,36,15,55,2020
"P.S. 115 Daniel Mucatel School","892",76,0.085,10,NA,NA,62,2020
"P.S. 135 Sheldon A. Brookner","473",39,0.082,18,NA,NA,18,2020
"P.S. 208 Elsa Ebeling","351",37,0.105,25,NA,NA,12,2020
"I.S. 211 John Wilson","341",48,0.141,18,10,8,23,2020
"P.S. 219 Kennedy-King","379",55,0.145,30,16,14,16,2020
"P.S. 233 Langston Hughes","342",23,0.067,16,NA,NA,7,2020
"P.S. 235 Janice Marie Knight School","1,182",23,0.019,8,NA,NA,15,2020
"P.S. 244 Richard R. Green","437",37,0.085,14,NA,NA,21,2020
"P.S. 268 Emma Lazarus","338",52,0.154,37,23,14,14,2020
"P.S. 272 Curtis Estabrook","462",119,0.258,27,18,9,84,2020
"P.S. 276 Louis Marshall","568",38,0.067,14,7,7,23,2020
"P.S. 279 Herman Schreiber","354",42,0.119,13,7,6,28,2020
"I.S. 285 Meyer Levin","735",109,0.148,28,20,8,75,2020
"The Science And Medicine Middle School","409",46,0.112,18,12,6,22,2020
"Home Schooling","166",9,0.054,NA,NA,NA,NA,2020
"It Takes a Village Academy","640",60,0.094,22,12,10,34,2020
"Brooklyn Community High School for Excellence and","202",23,0.114,NA,NA,NA,15,2020
"Brooklyn Theatre Arts High School","325",24,0.074,15,9,6,6,2020
"Kurt Hahn Expeditionary Learning School","272",34,0.125,9,NA,NA,22,2020
"Victory Collegiate High School","317",26,0.082,13,NA,NA,12,2020
"Brooklyn Bridge Academy","203",17,0.084,8,NA,NA,9,2020
"The Middle School of Media, Law and Fine Arts","248",41,0.165,17,11,6,17,2020
"Middle School for Art and Philosophy","170",22,0.129,11,NA,NA,6,2020
"High School for Innovation in Advertising and Medi","224",20,0.089,NA,NA,NA,13,2020
"Cultural Academy for the Arts and Sciences","261",27,0.103,15,9,6,12,2020
"High School for Medical Professions","463",37,0.08,16,7,9,21,2020
"Olympus Academy","220",16,0.073,NA,NA,NA,10,2020
"Academy for Conservation and the Environment","322",40,0.124,14,NA,NA,26,2020
"Urban Action Academy","222",33,0.149,14,7,7,19,2020
"East Brooklyn Community High School","217",23,0.106,7,NA,NA,14,2020
"Universal Pre-K C.B.O.","949",23,0.024,14,NA,NA,8,2020
"Brooklyn Science and Engineering Academy","357",16,0.045,7,NA,NA,9,2020
"P.S. 007 Abraham Lincoln","820",35,0.043,13,NA,NA,21,2020
"P.S. 013 Roberto Clemente","441",82,0.186,53,43,10,29,2020
"P.S. 065","569",155,0.272,NA,NA,NA,148,2020
"P.S. 089 Cypress Hills","498",29,0.058,NA,NA,NA,24,2020
"P.S. 108 Sal Abbracciamento","936",320,0.342,29,NA,NA,291,2020
"P.S. 149 Danny Kaye","622",109,0.175,70,57,13,39,2020
"P.S. 158 Warwick","521",58,0.111,35,23,12,19,2020
"P.S. 159 Isaac Pitkin","773",75,0.097,28,18,10,45,2020
"I.S. 171 Abraham Lincoln","404",62,0.153,12,NA,NA,50,2020
"P.S. 190 Sheffield","194",38,0.196,19,NA,NA,17,2020
"P.S. 202 Ernest S. Jenkyns","382",67,0.175,38,27,11,27,2020
"P.S. 213 New Lots","273",52,0.19,29,NA,NA,22,2020
"P.S. 214 Michael Friedsam","912",94,0.103,21,NA,NA,71,2020
"J.H.S. 218 James P. Sinnott","400",86,0.215,28,22,6,54,2020
"P.S. 224 Hale A. Woodruff","350",42,0.12,20,NA,NA,19,2020
"P.S. 273 Wortman","362",73,0.202,24,NA,NA,46,2020
"P.S. 290 Juan Morel Campos","456",70,0.154,29,NA,NA,41,2020
"J.H.S. 292 Margaret S. Douglas","543",122,0.225,82,52,30,37,2020
"P.S. 306 Ethan Allen","332",88,0.265,43,30,13,40,2020
"The Fresh Creek School","186",33,0.177,18,NA,NA,6,2020
"P.S. 328 Phyllis Wheatley","329",124,0.377,114,81,33,9,2020
"P.S. 345 Patrolman Robert Bolden","589",62,0.105,32,26,6,30,2020
"P.S. 346 Abe Stark","566",57,0.101,7,NA,NA,48,2020
"I.S. 364 Gateway","277",32,0.116,10,NA,NA,20,2020
"Academy for Young Writers","550",45,0.082,24,15,9,19,2020
"East New York Family Academy","501",52,0.104,25,15,10,24,2020
"Spring Creek Community School","535",48,0.09,30,19,11,17,2020
"Home Schooling","291",27,0.093,17,NA,NA,8,2020
"Frederick Douglass Academy VIII Middle School","311",25,0.08,10,NA,NA,14,2020
"FDNY - Captain Vernon A. Richard High School for F","272",47,0.173,31,13,18,14,2020
"High School for Civil Rights","227",44,0.194,23,11,12,17,2020
"Performing Arts and Technology High School","380",42,0.111,20,12,8,20,2020
"World Academy for Total Community Health High Scho","207",42,0.203,18,NA,NA,24,2020
"Brooklyn Gardens Elementary School","326",113,0.347,57,41,16,48,2020
"Multicultural High School","324",34,0.105,8,NA,NA,24,2020
"Transit Tech Career and Technical Education High S","711",61,0.086,23,11,12,35,2020
"Academy of Innovative Technology","450",13,0.029,6,NA,NA,7,2020
"Brooklyn Lab School","421",45,0.107,14,6,8,24,2020
"Van Siclen Community Middle School","302",47,0.156,24,NA,NA,21,2020
"Cypress Hills Collegiate Preparatory School","349",36,0.103,9,NA,NA,26,2020
"W. H. Maxwell Career and Technical Education High","409",61,0.149,46,24,22,10,2020
"Vista Academy","492",79,0.161,11,NA,NA,67,2020
"Liberty Avenue Middle School","535",99,0.185,36,20,16,55,2020
"School of the Future Brooklyn","171",38,0.222,19,NA,NA,19,2020
"East New York Elementary School of Excellence","510",91,0.178,32,26,6,57,2020
"East New York Middle School of Excellence","259",25,0.097,15,8,7,10,2020
"School for Classics High School","269",27,0.1,12,NA,NA,13,2020
"Universal Pre-K C.B.O.","1,779",103,0.058,58,49,9,40,2020
"Highland Park Community School","372",50,0.134,NA,NA,NA,45,2020
"The Urban Assembly School for Collaborative Health","350",29,0.083,8,NA,NA,20,2020
"Legacy School of the Arts","120",26,0.217,13,NA,NA,10,2020
"P.S./I.S. 30 Mary White Ovington","1,014",29,0.029,NA,NA,NA,26,2020
"P.S. 048 Mapleton","597",22,0.037,NA,NA,NA,20,2020
"J.H.S. 062 Ditmas","1,195",147,0.123,11,NA,NA,133,2020
"P.S. 69 Vincent D. Grippo School","784",7,0.009,NA,NA,NA,6,2020
"P.S. 102 The Bayview","1,420",63,0.044,NA,NA,NA,59,2020
"P.S./I.S. 104 The Fort Hamilton School","1,265",29,0.023,NA,NA,NA,26,2020
"P.S. 105 The Blythebourne","1,402",13,0.009,NA,NA,NA,12,2020
"P.S. 112 Lefferts Park","747",36,0.048,NA,NA,NA,34,2020
"P.S. 127 Mckinley Park","529",11,0.021,NA,NA,NA,8,2020
"P.S. 160 William T. Sampson","1,276",8,0.006,NA,NA,NA,7,2020
"P.S. 163 Bath Beach","635",65,0.102,NA,NA,NA,62,2020
"P.S. 164 Caesar Rodney","684",59,0.086,NA,NA,NA,59,2020
"Ralph A. Fabrizio School","1,035",132,0.128,NA,NA,NA,127,2020
"P.S. 176 Ovington","1,247",49,0.039,NA,NA,NA,44,2020
"P.S. 179 Kensington","820",91,0.111,NA,NA,NA,87,2020
"The SEEALL Academy","1,073",33,0.031,NA,NA,NA,26,2020
"P.S. 185 Walter Kassenbrock","655",8,0.012,NA,NA,NA,NA,2020
"P.S. 186 Dr. Irving A Gladstone","1,138",17,0.015,NA,NA,NA,16,2020
"The Christa McAuliffe School\I.S. 187","981",NA,NA,NA,NA,NA,NA,2020
"P.S. 192 - The Magnet School for Math and Science","653",55,0.084,NA,NA,NA,53,2020
"P.S. 200 Benson School","1,404",38,0.027,NA,NA,NA,31,2020
"J.H.S. 201 The Dyker Heights","1,767",43,0.024,NA,NA,NA,36,2020
"P.S. 204 Vince Lombardi","1,130",23,0.02,NA,NA,NA,23,2020
"P.S. 205 Clarion","1,328",50,0.038,6,NA,NA,43,2020
"J.H.S. 220 John J. Pershing","1,528",137,0.09,8,NA,NA,126,2020
"J.H.S. 223 The Montauk","919",67,0.073,NA,NA,NA,65,2020
"J.H.S. 227 Edward B. Shallow","1,679",110,0.066,NA,NA,NA,100,2020
"P.S. 229 Dyker","1,266",26,0.021,NA,NA,NA,22,2020
"P.S. 247 Brooklyn","859",16,0.019,NA,NA,NA,15,2020
"J.H.S. 259 William McKinley","1,884",54,0.029,NA,NA,NA,52,2020
"P.S. 264 Bay Ridge Elementary School For The Arts","470",13,0.028,NA,NA,NA,13,2020
"The School For Future Leaders","441",NA,NA,NA,NA,NA,NA,2020
"Home Schooling","343",NA,NA,NA,NA,NA,NA,2020
"New Utrecht High School","3,583",289,0.081,18,11,7,265,2020
"High School of Telecommunication Arts and Technolo","1,259",38,0.03,8,NA,NA,29,2020
"Fort Hamilton High School","4,765",243,0.051,13,7,6,220,2020
"P.S. 503: The School of Discovery","951",320,0.336,14,NA,NA,306,2020
"Franklin Delano Roosevelt High School","3,407",309,0.091,24,9,15,268,2020
"P.S. 506: The School of Journalism & Technology","746",102,0.137,NA,NA,NA,97,2020
"Urban Assembly School for Criminal Justice","582",48,0.082,NA,NA,NA,43,2020
"The Academy of Talented Scholars","425",12,0.028,NA,NA,NA,12,2020
"Brooklyn School of Inquiry","530",NA,NA,NA,NA,NA,NA,2020
"Universal Pre-K C.B.O.","2,944",36,0.012,NA,NA,NA,34,2020
"P.S. 748 Brooklyn School for Global Scholars","511",19,0.037,NA,NA,NA,18,2020
"District 20 Pre-K Center","1,428",26,0.018,6,NA,NA,19,2020
"School of Math, Science, and Healthy Living","309",12,0.039,NA,NA,NA,12,2020
"P.S. 90 Edna Cohen School","596",66,0.111,10,NA,NA,45,2020
"P.S. 095 The Gravesend","1,013",26,0.026,9,NA,NA,15,2020
"I.S. 096 Seth Low","857",55,0.064,11,NA,NA,43,2020
"P.S. 97 The Highlawn","756",23,0.03,NA,NA,NA,21,2020
"I.S. 98 Bay Academy","1,618",NA,NA,NA,NA,NA,NA,2020
"P.S. 099 Isaac Asimov","902",39,0.043,NA,NA,NA,34,2020
"P.S. 100 The Coney Island School","847",31,0.037,NA,NA,NA,28,2020
"P.S. 101 The Verrazano","951",18,0.019,NA,NA,NA,13,2020
"P.S. 121 Nelson A. Rockefeller","343",25,0.073,NA,NA,NA,20,2020
"P.S. 128 Bensonhurst","473",9,0.019,NA,NA,NA,8,2020
"P.S. 153 Homecrest","603",24,0.04,NA,NA,NA,22,2020
"P.S. 177 The Marlboro","1,011",38,0.038,NA,NA,NA,35,2020
"P.S. 188 Michael E. Berdy","362",26,0.072,13,NA,NA,12,2020
"P.S. 199 Frederick Wachtel","580",50,0.086,NA,NA,NA,47,2020
"P.S. 209 Margaret Mead","772",64,0.083,9,NA,NA,55,2020
"P.S. 212 Lady Deborah Moody","707",61,0.086,9,NA,NA,52,2020
"P.S. 215 Morris H. Weiss","839",27,0.032,NA,NA,NA,26,2020
"P.S. 216 Arturo Toscanini","780",25,0.032,NA,NA,NA,21,2020
"P.S. K225 - The Eileen E. Zaglin","1,049",37,0.035,10,NA,NA,25,2020
"P.S. 226 Alfred De B. Mason","1,041",70,0.067,NA,NA,NA,65,2020
"I.S. 228 David A. Boody","1,535",54,0.035,NA,NA,NA,48,2020
"P.S. 238 Anne Sullivan","643",56,0.087,NA,NA,NA,53,2020
"Mark Twain I.S. 239 for the Gifted & Talented","1,367",15,0.011,NA,NA,NA,14,2020
"P.S. 253","975",70,0.072,NA,NA,NA,70,2020
"I.S. 281 Joseph B Cavallaro","1,271",50,0.039,10,NA,NA,39,2020
"P.S. 288 The Shirley Tanyhill","590",36,0.061,27,NA,NA,NA,2020
"I.S. 303 Herbert S. Eisenberg","594",51,0.086,6,NA,NA,44,2020
"P.S. 329 Surfside","392",58,0.148,17,7,10,38,2020
"International High School at Lafayette","369",113,0.306,NA,NA,NA,109,2020
"Rachel Carson High School for Coastal Studies","628",34,0.054,NA,NA,NA,30,2020
"High School of Sports Management","283",35,0.124,13,6,7,22,2020
"Abraham Lincoln High School","1,810",145,0.08,40,18,22,100,2020
"Home Schooling","306",13,0.042,8,NA,NA,NA,2020
"Kingsborough Early College School","704",33,0.047,8,NA,NA,21,2020
"Edward R. Murrow High School","3,573",315,0.088,28,20,8,280,2020
"John Dewey High School","2,230",187,0.084,45,20,25,137,2020
"Life Academy High School for Film and Music","294",23,0.078,NA,NA,NA,20,2020
"Leaders High School","383",30,0.078,8,NA,NA,20,2020
"William E. Grady Career and Technical Education Hi","453",48,0.106,20,6,14,27,2020
"Brooklyn Studio Secondary School","951",25,0.026,NA,NA,NA,19,2020
"Universal Pre-K C.B.O.","2,048",26,0.013,6,NA,NA,18,2020
"Liberation Diploma Plus","219",17,0.078,6,NA,NA,8,2020
"Brooklyn's Daily Discovery Pre-K Center","325",NA,NA,NA,NA,NA,NA,2020
"J.H.S. 014 Shell Bank","561",67,0.119,22,16,6,43,2020
"P.S. 052 Sheepshead Bay","835",30,0.036,15,NA,NA,15,2020
"J.H.S. 078 Roy H. Mann","563",59,0.105,11,NA,NA,47,2020
"P.S. 109","535",128,0.239,101,92,9,26,2020
"P.S. 119 Amersfort","438",41,0.094,NA,NA,NA,37,2020
"P.S. K134","623",38,0.061,NA,NA,NA,38,2020
"P.S. 139 Alexine A. Fenty","910",94,0.103,10,NA,NA,82,2020
"School of Science & Technology","619",78,0.126,20,NA,NA,58,2020
"P.S. 193 Gil Hodges","657",42,0.064,NA,NA,NA,39,2020
"P.S. 194 Raoul Wallenberg","581",89,0.153,30,NA,NA,57,2020
"P.S. 195 Manhattan Beach","492",NA,NA,NA,NA,NA,NA,2020
"P.S. 197 - The Kings Highway Academy","887",93,0.105,NA,NA,NA,91,2020
"P.S. 198 Brooklyn","393",70,0.178,34,26,8,36,2020
"P.S. 203 Floyd Bennett School","618",65,0.105,10,NA,NA,50,2020
"P.S. 206 Joseph F Lamb","1,555",50,0.032,NA,NA,NA,47,2020
"P.S. 207 Elizabeth G. Leary","1,110",11,0.01,NA,NA,NA,6,2020
"P.S. 217 Colonel David Marcus School","1,151",112,0.097,16,7,9,96,2020
"P.S. 222 Katherine R. Snyder","868",8,0.009,NA,NA,NA,NA,2020
"J.H.S. 234 Arthur W. Cunningham","1,595",107,0.067,NA,NA,NA,106,2020
"P.S. 236 Mill Basin","610",19,0.031,NA,NA,NA,16,2020
"Andries Hudde","701",107,0.153,30,19,11,74,2020
"P.S. 245","276",22,0.08,NA,NA,NA,16,2020
"P.S. 251 Paerdegat","450",52,0.116,24,14,10,26,2020
"P.S. 254 Dag Hammarskjold","764",10,0.013,NA,NA,NA,9,2020
"P.S. 255 Barbara Reing School","885",91,0.103,NA,NA,NA,90,2020
"P.S. 277 Gerritsen Beach","426",NA,NA,NA,NA,NA,NA,2020
"J.H.S. 278 Marine Park","1,222",90,0.074,6,NA,NA,84,2020
"P.S. 312 Bergen Beach","746",52,0.07,6,NA,NA,45,2020
"P.S. K315","658",90,0.137,19,11,8,67,2020
"P.S. 326","148",NA,NA,NA,NA,NA,NA,2020
"P.S. 361 East Flatbush Early Childhood School","584",117,0.2,34,24,10,83,2020
"I. S. 381","300",22,0.073,7,NA,NA,15,2020
"Midwood High School","4,066",222,0.055,19,10,9,200,2020
"James Madison High School","3,946",224,0.057,14,6,8,207,2020
"Home Schooling","499",19,0.038,NA,NA,NA,17,2020
"Leon M. Goldstein High School for the Sciences","989",6,0.006,NA,NA,NA,NA,2020
"Brooklyn College Academy","664",17,0.026,NA,NA,NA,12,2020
"Origins High School","432",45,0.104,10,NA,NA,33,2020
"Professional Pathways High School","243",14,0.058,NA,NA,NA,10,2020
"Universal Pre-K C.B.O.","1,803",28,0.016,10,NA,NA,18,2020
"The Joan Snow Pre-K Center","332",NA,NA,NA,NA,NA,NA,2020
"P.S. 889","198",10,0.051,NA,NA,NA,7,2020
"M.S. 890","298",23,0.077,6,NA,NA,17,2020
"P.S. 041 Francis White","323",67,0.207,35,26,9,28,2020
"P.S./I.S. 137 Rachel Jean Mitchell","193",33,0.171,22,NA,NA,10,2020
"P.S. 150 Christopher","195",38,0.195,22,NA,NA,9,2020
"P.S./ I.S. 155 Nicholas Herkimer","407",85,0.209,54,47,7,29,2020
"P.S. 156 Waverly","610",103,0.169,85,66,19,17,2020
"P.S. 165 Ida Posner","309",49,0.159,26,16,10,19,2020
"P.S. 178 Saint Clair Mckelway","336",88,0.262,57,43,14,30,2020
"P.S. 184 Newport","522",114,0.218,63,36,27,31,2020
"The Gregory Jocko Jackson School of Sports, Art, a","300",41,0.137,35,26,9,6,2020
"P.S. 298 Dr. Betty Shabazz","314",76,0.242,45,30,15,30,2020
"P.S./I.S. 323","590",114,0.193,97,81,16,13,2020
"P.S. 327 Dr. Rose B. English","298",63,0.211,45,35,10,17,2020
"Brownsville Collaborative Middle School","275",62,0.225,40,29,11,18,2020
"I.S. 392","321",27,0.084,16,6,10,11,2020
"Christopher Avenue Community School","339",116,0.342,97,NA,NA,18,2020
"Home Schooling","117",14,0.12,12,NA,NA,NA,2020
"Riverdale Avenue Community School","370",74,0.2,45,38,7,29,2020
"Brooklyn Collegiate: A College Board School","334",40,0.12,24,16,8,16,2020
"Frederick Douglass Academy VII High School","143",24,0.168,18,9,9,6,2020
"Kappa V (Knowledge and Power Preparatory Academy)","178",34,0.191,16,7,9,16,2020
"Mott Hall IV","149",20,0.134,11,NA,NA,7,2020
"Brooklyn Landmark Elementary School","420",58,0.138,32,22,10,24,2020
"Brooklyn Democracy Academy","204",24,0.118,13,NA,NA,7,2020
"Eagle Academy for Young Men II","646",68,0.105,43,22,21,23,2020
"Metropolitan Diploma Plus High School","253",32,0.126,21,10,11,9,2020
"Brooklyn Environmental Exploration School (BEES)","186",42,0.226,32,20,12,8,2020
"Riverdale Avenue Middle School","153",47,0.307,25,14,11,19,2020
"Mott Hall Bridges Academy","210",34,0.162,23,16,7,10,2020
"Teachers Preparatory High School","182",41,0.225,32,15,17,7,2020
"Universal Pre-K C.B.O.","795",52,0.065,27,NA,NA,21,2020
"I.S. 5 - The Walter Crowley Intermediate School","1,795",65,0.036,43,36,7,22,2020
"P.S. 007 Louis F. Simeone","1,346",101,0.075,20,NA,NA,79,2020
"P.S. 012 James B. Colgate","1,144",135,0.118,NA,NA,NA,132,2020
"P.S. 013 Clement C. Moore","1,417",294,0.207,NA,NA,NA,290,2020
"P.S. 014 Fairview","1,417",76,0.054,8,NA,NA,65,2020
"P.S. Q016 The Nancy DeBenedittis School","1,417",363,0.256,NA,NA,NA,358,2020
"P.S. 019 Marino Jeantet","1,863",283,0.152,7,NA,NA,276,2020
"P.S. 28 - The Thomas Emanuel Early Childhood Cente","473",39,0.082,NA,NA,NA,37,2020
"P.S. 049 Dorothy Bonawit Kole","1,220",71,0.058,NA,NA,NA,71,2020
"P.S. 58 - The School of Heroes","980",37,0.038,8,NA,NA,28,2020
"I.S. 061 Leonardo Da Vinci","2,333",313,0.134,14,NA,NA,298,2020
"P.S. 068 Cambridge","548",34,0.062,6,NA,NA,27,2020
"P.S. 071 Forest","712",30,0.042,6,NA,NA,24,2020
"I.S. 73 - The Frank Sansivieri Intermediate School","2,079",126,0.061,10,NA,NA,112,2020
"I.S. 077","926",90,0.097,9,NA,NA,76,2020
"P.S. 81Q Jean Paul Richter","639",87,0.136,8,NA,NA,79,2020
"P.S./I.S. 087 Middle Village","621",19,0.031,6,NA,NA,13,2020
"P.S. 088 Seneca","813",24,0.03,8,NA,NA,15,2020
"P.S. 089 Elmhurst","1,724",209,0.121,9,NA,NA,198,2020
"P.S. 091 Richard Arkwright","793",25,0.032,NA,NA,NA,18,2020
"I.S. 093 Ridgewood","1,174",87,0.074,NA,NA,NA,82,2020
"P.S. 102 Bayview","1,317",114,0.087,53,NA,NA,59,2020
"P.S. 110","985",184,0.187,6,NA,NA,178,2020
"P.S./I.S. 113 Anthony J. Pranzo","881",18,0.02,NA,NA,NA,18,2020
"P.S./I.S. 119 The Glendale","1,332",50,0.038,NA,NA,NA,42,2020
"I.S. 125 Thom J. McCann Woodside","1,484",177,0.119,17,NA,NA,159,2020
"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elemen","968",7,0.007,NA,NA,NA,6,2020
"P.S. 143 Louis Armstrong","1,315",131,0.1,24,NA,NA,107,2020
"P.S. 153 Maspeth Elem","1,072",21,0.02,NA,NA,NA,18,2020
"P.S. 199 Maurice A. Fitzgerald","696",101,0.145,55,NA,NA,46,2020
"Elm Tree Elementary School","693",264,0.381,6,NA,NA,256,2020
"P.S. 229 Emanuel Kaplan","1,414",78,0.055,24,NA,NA,54,2020
"International High School for Health Sciences","303",81,0.267,NA,NA,NA,78,2020
"P.S. 239","521",85,0.163,NA,NA,NA,81,2020
"Academy of Finance and Enterprise","685",32,0.047,NA,NA,NA,28,2020
"High School of Applied Communication","407",13,0.032,NA,NA,NA,7,2020
"A.C.E. Academy for Scholars at the Geraldine Ferra","590",21,0.036,NA,NA,NA,18,2020
"Civic Leadership Academy","656",30,0.046,6,NA,NA,23,2020
"Pan American International High School","458",79,0.172,NA,NA,NA,76,2020
"Bard High School Early College Queens","640",7,0.011,NA,NA,NA,NA,2020
"Learners and Leaders","570",80,0.14,NA,NA,NA,80,2020
"Pioneer Academy","876",86,0.098,NA,NA,NA,84,2020
"Corona Arts & Sciences Academy","786",124,0.158,NA,NA,NA,121,2020
"Helen M. Marshall School","512",136,0.266,NA,NA,NA,128,2020
"Mosaic Pre-K Center","1,047",49,0.047,11,NA,NA,36,2020
"The Children's Lab School","497",45,0.091,9,NA,NA,36,2020
"Home Schooling","393",17,0.043,9,NA,NA,8,2020
"Newtown High School","1,756",169,0.096,34,22,12,132,2020
"Grover Cleveland High School","1,707",136,0.08,14,NA,NA,118,2020
"Middle College High School at LaGuardia Community","514",12,0.023,NA,NA,NA,10,2020
"International High School at LaGuardia Community C","536",110,0.205,NA,NA,NA,101,2020
"High School for Arts and Business","773",39,0.05,11,NA,NA,28,2020
"Robert F. Wagner, Jr. Secondary School for Arts an","653",23,0.035,6,NA,NA,16,2020
"Maspeth High School","1,238",22,0.018,NA,NA,NA,17,2020
"Queens Technical High School","1,464",49,0.033,NA,NA,NA,42,2020
"Aviation Career & Technical Education High School","2,067",24,0.012,NA,NA,NA,23,2020
"Universal Pre-K C.B.O.","2,365",156,0.066,15,NA,NA,139,2020
"VOYAGES Preparatory","249",14,0.056,7,NA,NA,7,2020
"P.S. 020 John Bowne","1,227",68,0.055,8,NA,NA,57,2020
"P.S. 021 Edward Hart","1,357",229,0.169,NA,NA,NA,226,2020
"P.S. 022 Thomas Jefferson","881",52,0.059,NA,NA,NA,51,2020
"P.S. 024 Andrew Jackson","1,150",125,0.109,NA,NA,NA,121,2020
"I.S. 025 Adrien Block","1,100",71,0.065,NA,NA,NA,69,2020
"P.S. 029 Queens","737",50,0.068,9,NA,NA,38,2020
"P.S. 032 State Street","1,043",29,0.028,NA,NA,NA,28,2020
"P.S. 079 Francis Lewis","1,108",29,0.026,NA,NA,NA,28,2020
"P.S. 107 Thomas A Dooley","960",95,0.099,NA,NA,NA,91,2020
"P.S. 120 Queens","927",16,0.017,NA,NA,NA,15,2020
"P.S. 129 Patricia Larkin","1,133",59,0.052,NA,NA,NA,57,2020
"P.S. 130","403",NA,NA,NA,NA,NA,NA,2020
"P.S. 154 Queens","665",16,0.024,NA,NA,NA,12,2020
"P.S. 163 Flushing Heights","831",12,0.014,NA,NA,NA,11,2020
"P.S. 164 Queens Valley","692",27,0.039,NA,NA,NA,26,2020
"P.S. 165 Edith K. Bergtraum","774",61,0.079,11,NA,NA,50,2020
"P.S. 169 Bay Terrace","395",NA,NA,NA,NA,NA,NA,2020
"P.S. 184 Flushing Manor","536",25,0.047,NA,NA,NA,25,2020
"J.H.S. 185 Edward Bleeker","1,492",117,0.078,NA,NA,NA,106,2020
"J.H.S. 189 Daniel Carter Beard","755",57,0.075,NA,NA,NA,53,2020
"P.S. 193 Alfred J. Kennedy","589",NA,NA,NA,NA,NA,NA,2020
"J.H.S. 194 William Carr","1,310",57,0.044,NA,NA,NA,55,2020
"P.S./M.S. 200 - The Magnet School of Global Studie","559",28,0.05,9,NA,NA,18,2020
"P.S. 201 The Discovery School for Inquiry and Rese","479",29,0.061,21,NA,NA,7,2020
"P.S. 209 Clearview Gardens","568",6,0.011,NA,NA,NA,NA,2020
"P.S. 214 Cadwallader Colden","431",16,0.037,NA,NA,NA,13,2020
"P.S. 219 Paul Klapper","650",71,0.109,NA,NA,NA,68,2020
"I.S. 237","1,380",71,0.051,8,NA,NA,61,2020
"Veritas Academy","614",37,0.06,NA,NA,NA,33,2020
"Queens High School for Language Studies","447",17,0.038,NA,NA,NA,15,2020
"P.S. 242 Leonard P. Stavisky Early Childhood Schoo","409",NA,NA,NA,NA,NA,NA,2020
"The Active Learning Elementary School","473",NA,NA,NA,NA,NA,NA,2020
"I.S. 250 The Robert F. Kennedy Community Middle Sc","377",46,0.122,NA,NA,NA,39,2020
"Queens School of Inquiry, The","600",8,0.013,NA,NA,NA,8,2020
"Flushing International High School","454",82,0.181,NA,NA,NA,74,2020
"East-West School of International Studies","672",NA,NA,NA,NA,NA,NA,2020
"World Journalism Preparatory: A College Board Scho","615",26,0.042,NA,NA,NA,23,2020
"BELL Academy","361",NA,NA,NA,NA,NA,NA,2020
"College Point Collaborative","352",16,0.045,NA,NA,NA,14,2020
"District 25 PRE-K Center","234",6,0.026,NA,NA,NA,NA,2020
"John Bowne High School","3,498",144,0.041,30,21,9,109,2020
"Home Schooling","309",10,0.032,NA,NA,NA,8,2020
"Flushing High School","1,530",151,0.099,15,9,6,132,2020
"The Queens College School for Math, Science and Te","524",8,0.015,NA,NA,NA,8,2020
"Townsend Harris High School","1,221",7,0.006,NA,NA,NA,NA,2020
"Queens Academy High School","426",14,0.033,NA,NA,NA,10,2020
"Robert F. Kennedy Community High School","688",26,0.038,NA,NA,NA,19,2020
"Universal Pre-K C.B.O.","1,817",27,0.015,NA,NA,NA,20,2020
"North Queens Community High School","177",10,0.056,NA,NA,NA,NA,2020
"P.S. 018 Winchester","522",14,0.027,NA,NA,NA,12,2020
"P.S. 026 Rufus King","728",13,0.018,NA,NA,NA,13,2020
